CMDLINE /usr/bin/python3 launcher.py
MEM 227.726562 1555054024.2526
MEM 237.781250 1555054024.4220
MEM 142.136719 1555054024.5999
MEM 142.136719 1555054024.7611
MEM 142.136719 1555054024.9187
MEM 142.136719 1555054025.0649
MEM 142.136719 1555054025.1953
MEM 142.136719 1555054025.3294
MEM 142.136719 1555054025.4623
MEM 142.136719 1555054025.6033
MEM 142.136719 1555054025.7466
MEM 142.136719 1555054025.8920
MEM 142.136719 1555054026.0311
MEM 142.136719 1555054026.1828
MEM 142.136719 1555054026.3234
MEM 142.136719 1555054026.4570
MEM 142.136719 1555054026.5956
MEM 142.136719 1555054026.7317
MEM 142.136719 1555054026.8649
MEM 142.136719 1555054027.0113
MEM 142.136719 1555054027.1521
MEM 142.136719 1555054027.3096
MEM 142.136719 1555054027.4591
MEM 152.703125 1555054027.6019
MEM 157.859375 1555054027.7355
MEM 164.562500 1555054027.8755
MEM 164.562500 1555054028.0007
MEM 164.562500 1555054028.1322
MEM 164.562500 1555054028.2666
MEM 164.562500 1555054028.3990
MEM 164.562500 1555054028.5359
MEM 164.562500 1555054028.6917
MEM 164.562500 1555054028.8470
MEM 165.078125 1555054028.9967
MEM 176.937500 1555054029.1320
MEM 193.695312 1555054029.2713
MEM 205.812500 1555054029.4035
MEM 218.960938 1555054029.5522
MEM 237.781250 1555054029.6834
MEM 142.136719 1555054029.8287
MEM 142.136719 1555054029.9645
MEM 142.136719 1555054030.1029
MEM 142.136719 1555054030.2570
MEM 142.136719 1555054030.3900
MEM 142.136719 1555054030.5198
MEM 142.136719 1555054030.6640
MEM 142.136719 1555054030.7886
MEM 142.136719 1555054030.9215
MEM 142.136719 1555054031.0499
MEM 142.136719 1555054031.1932
MEM 143.679688 1555054031.3351
MEM 156.570312 1555054031.4855
MEM 169.460938 1555054031.6114
MEM 181.835938 1555054031.7388
MEM 193.179688 1555054031.8683
MEM 204.781250 1555054032.0018
MEM 218.187500 1555054032.1431
MEM 233.398438 1555054032.2758
MEM 244.484375 1555054032.4128
MEM 256.859375 1555054032.5519
MEM 270.007812 1555054032.6897
MEM 285.734375 1555054032.8268
MEM 289.601562 1555054032.9560
MEM 325.179688 1555054033.1092
MEM 325.179688 1555054033.2365
MEM 249.421875 1555054033.3740
MEM 142.136719 1555054033.5123
MEM 142.136719 1555054033.6784
MEM 142.136719 1555054033.8269
MEM 142.136719 1555054033.9819
MEM 142.136719 1555054034.1210
MEM 142.136719 1555054034.2778
MEM 142.136719 1555054034.4444
MEM 142.136719 1555054034.6004
MEM 142.136719 1555054034.7413
MEM 142.136719 1555054034.8854
MEM 142.136719 1555054035.0446
MEM 147.546875 1555054035.1900
MEM 157.343750 1555054035.3298
MEM 157.343750 1555054035.4642
MEM 157.343750 1555054035.6051
MEM 157.343750 1555054035.7373
MEM 157.343750 1555054035.8683
MEM 157.343750 1555054035.9969
MEM 157.343750 1555054036.1260
MEM 157.343750 1555054036.2478
MEM 157.343750 1555054036.3714
MEM 157.601562 1555054036.4955
MEM 163.531250 1555054036.6225
MEM 173.843750 1555054036.7488
MEM 173.843750 1555054036.8781
MEM 173.843750 1555054037.0090
MEM 173.843750 1555054037.1313
MEM 173.843750 1555054037.2578
MEM 173.843750 1555054037.4037
MEM 173.843750 1555054037.5533
MEM 173.843750 1555054037.6987
MEM 173.843750 1555054037.8452
MEM 173.843750 1555054037.9893
MEM 173.843750 1555054038.1202
MEM 173.843750 1555054038.2464
MEM 173.843750 1555054038.3760
MEM 173.843750 1555054038.5044
MEM 173.843750 1555054038.6391
MEM 173.843750 1555054038.7727
MEM 173.843750 1555054038.8979
MEM 173.843750 1555054039.0252
MEM 173.843750 1555054039.1498
MEM 173.843750 1555054039.2727
MEM 173.843750 1555054039.3993
MEM 173.843750 1555054039.5272
MEM 173.843750 1555054039.6666
MEM 173.843750 1555054039.7853
MEM 173.843750 1555054039.9083
MEM 173.843750 1555054040.0317
MEM 173.843750 1555054040.1466
MEM 173.843750 1555054040.2610
MEM 173.843750 1555054040.3755
MEM 173.843750 1555054040.4898
MEM 173.843750 1555054040.6042
MEM 173.843750 1555054040.7191
MEM 173.843750 1555054040.8332
MEM 173.843750 1555054040.9475
MEM 173.843750 1555054041.0624
MEM 173.843750 1555054041.1867
MEM 173.843750 1555054041.3206
MEM 173.843750 1555054041.4872
MEM 173.843750 1555054041.6391
MEM 173.843750 1555054041.7960
MEM 173.843750 1555054041.9311
MEM 173.843750 1555054042.0552
MEM 173.843750 1555054042.2040
MEM 173.843750 1555054042.3495
MEM 173.843750 1555054042.4883
MEM 173.843750 1555054042.6286
MEM 173.843750 1555054042.7619
MEM 173.843750 1555054042.9011
MEM 173.843750 1555054043.0202
